osm_id,code,fclass,name,latitude,longitude
1597636364,5601,railway_station,Aambliyasan Junction,72,23
1597636540,5601,railway_station,Langhnaj,72,23
1598977159,5601,railway_station,Vankal,73,21
1600192524,5601,railway_station,Mota Miya Mangrol,73,21
1600192526,5601,railway_station,Zankhvav,73,21
1621473135,5601,railway_station,Amreli,71,22
1705164307,5601,railway_station,Wadhwan City,72,23
1705399908,5601,railway_station,Ankleshwar Junction,73,22
1805442322,5601,railway_station,Pipavav,71,21
1858261139,5601,railway_station,Surendranagar Gate,72,23
1981361947,5601,railway_station,Songadh,72,22
2068421648,5601,railway_station,Chanasma,72,24
2068421650,5601,railway_station,Kadi,72,23
2068421652,5601,railway_station,Katosan Road Junction,72,23
2068421653,5601,railway_station,Patan,72,24
2068421655,5601,railway_station,Ranuj Junction,72,24
2068422100,5601,railway_station,Bhoyani,72,23
2068422196,5601,railway_station,Bechraji,72,24
2068422249,5601,railway_station,Dhinoj,72,24
2068705792,5601,railway_station,Kuda,71,23
2068719207,5601,railway_station,Khed Brahma,73,24
2068743533,5601,railway_station,Kharaghoda,72,23
2068743668,5601,railway_station,Jhund Junction,72,23
2083204314,5601,railway_station,Maliya Hatina,70,21
2083204388,5601,railway_station,Bhanduri,70,21
2083205759,5601,railway_station,Jetpur,71,22
2083780306,5601,railway_station,Kharsaliya,74,23
2140498471,5601,railway_station,Mahemadavad Kheda Road,73,23
2340450463,5601,railway_station,Sasan Gir,71,21
2340450464,5601,railway_station,Talala Junction,71,21
2350878015,5601,railway_station,Dhanera,72,25
2350878016,5601,railway_station,Jari,72,25
2351133768,5601,railway_station,Jasali,72,24
2351133769,5601,railway_station,Jenal,72,24
2351133945,5601,railway_station,Ramsan,72,24
2351891812,5601,railway_station,Chandisar,72,24
2351891832,5601,railway_station,Karjoda,72,24
2351906368,5601,railway_station,Chitrasani,72,24
2351906369,5601,railway_station,Disa,72,24
2351906370,5601,railway_station,Iqbal Gadh,73,24
2351906371,5601,railway_station,Lorwada,72,24
2351906496,5601,railway_station,Sarotra Road,73,24
2351906500,5601,railway_station,Shri Amirgadh,73,24
2351982758,5601,railway_station,Bhandu Motidau,72,24
2351982762,5601,railway_station,Chhapi,72,24
2351982765,5601,railway_station,Dharewada,72,24
2351982768,5601,railway_station,Kamli,72,24
2351982772,5601,railway_station,Manund,72,24
2351982951,5601,railway_station,Umardashi,72,24
2351982952,5601,railway_station,Unjha,72,24
2357542720,5601,railway_station,Wansjaliya Junction,70,22
2360682940,5601,railway_station,Nenpur,73,23
2376612715,5601,railway_station,Ambli Road,72,23
2496657476,5601,railway_station,Bhesana Mankanaj,72,23
2516708243,5601,railway_station,Gandhinagar Capital,73,23
2588844159,5601,railway_station,Jagudan,72,24
2668715940,5601,railway_station,Dholka,72,23
2669084968,5601,railway_station,Ahmedabad Junction,73,23
2669085037,5601,railway_station,Vadodara Junction,73,22
2681839863,5601,railway_station,Umbergaon Road,73,20
2682274360,5601,railway_station,Sanjan,73,20
2867177822,5601,railway_station,Rajpipla,74,22
3125252510,5601,railway_station,Palanpur Junction,72,24
3277041892,5601,railway_station,Vadtal Swaminarayan,73,23
3278092403,5601,railway_station,Dahej,73,22
3278092405,5601,railway_station,Samni Junction,73,22
3278092575,5601,railway_station,Pakhajan,73,22
3283404929,5601,railway_station,Palej,73,22
3455747180,5601,railway_station,Adraj Moti,73,23
3455747183,5601,railway_station,Kolvada,73,23
3611300339,5601,railway_station,Jamnagar,70,22
3768994851,5601,railway_station,Porbandar,70,22
4151942165,5601,railway_station,Bhimnath,72,22
4302169526,5601,railway_station,Mahesana Junction,72,24
4310594752,5601,railway_station,Khambhaliya,70,22
4312193889,5601,railway_station,Khodiyar Junction,73,23
4398457021,5601,railway_station,Vatva,73,23
4486398588,5601,railway_station,Sabarmati Junction,73,23
4510418865,5601,railway_station,Nadiad Junction,73,23
4515049690,5601,railway_station,Barejadi Nandej,73,23
4515083789,5601,railway_station,Kanij,73,23
4515093191,5601,railway_station,Gothaj,73,23
4525895498,5601,railway_station,Geratpur,73,23
4730516847,5601,railway_station,Udhna Junction,73,21
4762275125,5601,railway_station,Jetalsar Junction,71,22
4864368821,5601,railway_station,Vyara,73,21
4943268193,5601,railway_station,Makakhad,73,23
5078667809,5601,railway_station,Kikakui Road,73,21
5127674096,5601,railway_station,Modasa,73,23
5165585878,5601,railway_station,Tankhala,74,22
5165585882,5601,railway_station,Bhatpur,74,22
5289727994,5601,railway_station,Bajana,72,23
5289727995,5601,railway_station,Jatpipli,72,23
5289727996,5601,railway_station,Vasadva,72,23
5289728072,5601,railway_station,Sadla,72,23
5289762701,5601,railway_station,Chuli,71,23
5341283853,5601,railway_station,Utran,73,21
5351369951,5601,railway_station,Bhestan,73,21
5361980950,5601,railway_station,Vadiya Devli,71,22
5381189023,5601,railway_station,Veraval Junction,70,21
5396166538,5601,railway_station,Paneli Moti,70,22
5454078802,5601,railway_station,Champaner Road,73,23
5455870998,5601,railway_station,Godhra Junction,74,23
5455871250,5601,railway_station,Anas,74,23
5455871251,5601,railway_station,Bordi,74,23
5566618411,5601,railway_station,Karambeli,73,20
5566618729,5601,railway_station,Pardi,73,21
5566618818,5601,railway_station,Atul,73,21
5568407715,5601,railway_station,Dungri,73,21
5568408493,5601,railway_station,Bilimora Junction,73,21
5568408548,5601,railway_station,Amalsad,73,21
5568408601,5601,railway_station,Vedchha,73,21
5568408830,5601,railway_station,Maroli,73,21
5568408848,5601,railway_station,Sachin,73,21
5571100123,5601,railway_station,Gothangam,73,21
5571100124,5601,railway_station,Sayan,73,21
5571414263,5601,railway_station,Kim,73,21
5571414299,5601,railway_station,Hathuran,73,22
5571414304,5601,railway_station,Panoli,73,22
5577895690,5601,railway_station,Chavaj,73,22
5577895691,5601,railway_station,Nabipur,73,22
5590107074,5601,railway_station,Varediya,73,22
5590108853,5601,railway_station,Lakodra,73,22
5590108854,5601,railway_station,Miyagam Karjan Junction,73,22
5590108855,5601,railway_station,Kashipura Sarar,73,22
5590108856,5601,railway_station,Itola,73,22
5590108917,5601,railway_station,Varnama,73,22
5725638703,5601,railway_station,Chandlodiya,73,23
5725639222,5601,railway_station,Gora Ghuma,72,23
5725639271,5601,railway_station,Sanand,72,23
5725639283,5601,railway_station,Chharodi,72,23
5725639293,5601,railway_station,Jakhvada,72,23
5725639432,5601,railway_station,Vani Road,72,23
5734380272,5601,railway_station,Bhaktinagar,71,22
5737147648,5601,railway_station,Ukai Songhad,74,21
5743719625,5601,railway_station,Bala road,72,23
5743719673,5601,railway_station,Bajrangpura,72,23
5743719681,5601,railway_station,Lakhtar,72,23
5743719713,5601,railway_station,Kesariya Road,72,23
5743719735,5601,railway_station,Lilapur Road,72,23
5745061855,5601,railway_station,Sabli Road,72,23
5745061911,5601,railway_station,Bileshwar,71,22
5745061984,5601,railway_station,Kanakot,71,22
5745062031,5601,railway_station,Sindhawadar,71,23
5745062093,5601,railway_station,Amarsar,71,23
5745062135,5601,railway_station,Lunseriya,71,23
5745062164,5601,railway_station,Daladi,71,23
5745062194,5601,railway_station,Lakhamanchi,71,23
5745062205,5601,railway_station,Than,71,23
5745062218,5601,railway_station,Vagdiya,71,23
5745104693,5601,railway_station,Ramparda,71,23
5745104708,5601,railway_station,Muli road,71,23
5745105546,5601,railway_station,Digsar,72,23
5745105558,5601,railway_station,Chamaraj,72,23
5745453249,5601,railway_station,Ribada,71,22
5746301821,5601,railway_station,Kosamba Junction,73,21
5773700367,5601,railway_station,Khanderi,71,22
5773700444,5601,railway_station,Chanol,71,22
5774539097,5601,railway_station,Hadmatiya,70,22
5774539114,5601,railway_station,Jalia Devani,70,22
5775380872,5601,railway_station,Jam Wanthali,70,22
5775380886,5601,railway_station,Alia Bada,70,22
5776953589,5601,railway_station,Lakhabawal,70,22
5776953624,5601,railway_station,Pipli,70,22
5778759345,5601,railway_station,Modpur,70,22
5778923390,5601,railway_station,Bhatel,69,22
5778923681,5601,railway_station,Bhopalka,69,22
5778923728,5601,railway_station,Kuranga,69,22
5778923742,5601,railway_station,Okha Madhi,69,22
5778923857,5601,railway_station,Gorinja,69,22
5778923971,5601,railway_station,Bhimrana,69,22
6084723184,5601,railway_station,Derol,73,23
6177088516,5601,railway_station,Navapur,74,21
6177088518,5601,railway_station,Bhadbhunja,74,21
6177088519,5601,railway_station,Lakkadkot,74,21
6177088574,5601,railway_station,Lotarva,73,21
6177088575,5601,railway_station,Kaher,73,21
6177088577,5601,railway_station,Timbarva,73,21
6177088578,5601,railway_station,Gangadhara,73,21
6177088580,5601,railway_station,Chalthan,73,21
6177088581,5601,railway_station,Niyol,73,21
6177979537,5601,railway_station,Vavadi Khurd,74,23
6177979538,5601,railway_station,Tuwa,73,23
6177979539,5601,railway_station,Tulsigam,73,23
6177979731,5601,railway_station,Angadi,73,23
6177979733,5601,railway_station,Thasra,73,23
6177979734,5601,railway_station,Od,73,23
6177985914,5601,railway_station,Bakrol,73,23
6178116517,5601,railway_station,Jarod,73,22
6178341290,5601,railway_station,Dhamarda,74,23
6178341291,5601,railway_station,Rentiya,74,23
6178341292,5601,railway_station,Jekot,74,23
6178341311,5601,railway_station,Usra,74,23
6178341317,5601,railway_station,Mangal Mahudi,74,23
6178341337,5601,railway_station,Limkheda,74,23
6178341350,5601,railway_station,Sant Road,74,23
6178341355,5601,railway_station,Chanchelav,74,23
6178341356,5601,railway_station,Kansudhi,74,23
6418267632,5601,railway_station,Jethi,73,24
6418900977,5601,railway_station,Unawa Aithor,72,24
6419186508,5601,railway_station,Shobhasan,72,24
6419205302,5601,railway_station,Dangarwa,72,23
6419222280,5601,railway_station,Jhulasan,72,23
6419254399,5601,railway_station,Saij Sertha Road,73,23
6564485688,5601,railway_station,Sunak,73,24
6564544989,5601,railway_station,Viravada,73,24
6564551780,5601,railway_station,Himmatnagar Junction,73,24
6565151938,5601,railway_station,Kadiyadra,73,24
6565182415,5601,railway_station,Sur Road,73,24
6566321356,5601,railway_station,Chadotar,72,24
6566357993,5601,railway_station,Rasana,72,24
6570717717,5601,railway_station,Piludra,72,24
6570763256,5601,railway_station,Kesimpa,73,24
6570786735,5601,railway_station,Kadarpur,73,24
6571007449,5601,railway_station,IR,72,24
6571021211,5601,railway_station,Khemana,72,24
6571025620,5601,railway_station,Wayad,72,24
6571044259,5601,railway_station,Kansa,72,24
6571065343,5601,railway_station,Shihori,72,24
6571836455,5601,railway_station,Detroj,72,23
6571842202,5601,railway_station,Linch,72,24
6571842548,5601,railway_station,Jotana,72,23
